head,all_positive,base_final_events,base_final_positive,final_events,final_positive,all_answer_fraction,base_final_answer_fraction,final_answer_fraction
L17H5,0.27121464226289516,14,0.35714285714285715,41,0.2926829268292683,0.11241217798594848,0.07142857142857142,0.07317073170731707
L18H15,0.49846782431052095,18,0.5555555555555556,59,0.6271186440677966,0.1600387972841901,0.6666666666666666,0.7627118644067796
L18H18,0.7349397590361446,2,1.0,9,0.8888888888888888,0.14749262536873156,1.0,1.0
L18H19,0.8390092879256966,5,1.0,17,1.0,0.0804953560371517,0.8,0.9411764705882353
L18H22,0.46008869179600886,0,,1,0.0,0.22191528545119704,,1.0
L18H24,0.34285714285714286,5,0.0,13,0.15384615384615385,0.1,0.0,0.07692307692307693
L19H16,0.22770199370409233,27,0.1111111111111111,110,0.18181818181818182,0.1046875,0.8518518518518519,0.8909090909090909
L19H20,0.411371237458194,0,,0,,0.19055118110236222,,
L19H22,0.7790594498669032,40,0.875,160,0.9,0.20205479452054795,0.8,0.78125
L1H27,0.5153521974714028,0,,0,,0.04979253112033195,,
L20H1,0.17391304347826086,14,0.0,39,0.02564102564102564,0.17719298245614035,0.7142857142857143,0.7692307692307693
L20H14,0.5310492505353319,4,0.5,17,0.5294117647058824,0.10278372591006424,0.75,0.5882352941176471
L20H7,0.5939799331103679,40,0.525,160,0.5,0.17591973244147158,1.0,0.9625
L21H18,0.7995169082125604,40,1.0,160,0.975,0.1649791542584872,0.875,0.86875
L21H22,0.6666666666666666,1,0.0,1,0.0,0.3333333333333333,1.0,1.0
L21H23,0.25,0,,0,,0.05,,
L21H24,0.37212049616066156,39,0.1282051282051282,155,0.10967741935483871,0.15577889447236182,0.5641025641025641,0.45161290322580644
L21H25,0.7130434782608696,30,0.9333333333333333,124,0.9032258064516129,0.08699397071490095,0.43333333333333335,0.3790322580645161
L21H27,0.5516956162117452,29,0.27586206896551724,119,0.4117647058823529,0.09098294069861901,0.6896551724137931,0.6638655462184874
L21H6,0.8146853146853147,20,1.0,79,1.0,0.12296983758700696,1.0,1.0
L22H31,0.7377049180327869,9,0.6666666666666666,54,0.7962962962962963,0.23497267759562843,0.5555555555555556,0.6851851851851852
L22H5,0.821917808219178,38,1.0,157,0.9554140127388535,0.30547945205479454,0.9210526315789473,0.8662420382165605
L23H10,0.632436837815811,0,,1,1.0,0.09941089837997054,,1.0
L23H15,0.6355024711696869,40,0.625,160,0.5375,0.0979689366786141,0.95,0.9
L24H17,0.681872037914692,38,0.6052631578947368,150,0.6,0.1173054587688734,0.7631578947368421,0.7
L25H17,0.4272,0,,0,,0.14992272024729522,,
L25H18,0.5264423076923077,31,0.3548387096774194,110,0.37272727272727274,0.049689440993788817,0.3870967741935484,0.2636363636363636
L25H21,0.6978021978021978,12,0.5,58,0.5517241379310345,0.1347517730496454,0.3333333333333333,0.39655172413793105
L26H23,0.20958083832335328,33,0.21212121212121213,124,0.20161290322580644,0.07516147974163241,0.5454545454545454,0.5645161290322581
L26H31,0.9130434782608695,16,1.0,62,1.0,0.05732484076433121,0.25,0.12903225806451613
L27H23,0.5365853658536586,0,,0,,0.0,,
L27H6,0.95703125,38,1.0,147,1.0,0.3984375,0.9473684210526315,0.9047619047619048
L28H15,0.7021276595744681,2,1.0,14,0.42857142857142855,0.14893617021276595,0.0,0.5
L2H1,0.5216216216216216,0,,0,,0.12608353033884948,,
L2H21,0.4791666666666667,8,0.0,28,0.0,0.13897280966767372,0.0,0.14285714285714285
L2H22,0.4240062353858145,0,,0,,0.1870838881491345,,
L30H13,0.37295528898582336,0,,0,,0.05818965517241379,,
L30H18,0.6661392405063291,38,0.7105263157894737,149,0.7516778523489933,0.19805825242718447,0.05263157894736842,0.09395973154362416
L30H3,0.46218487394957986,14,0.42857142857142855,53,0.49056603773584906,0.041796631316281974,0.14285714285714285,0.1509433962264151
L31H1,0.6670372429127293,9,0.4444444444444444,45,0.6444444444444445,0.10166919575113809,0.1111111111111111,0.1111111111111111
L3H11,0.29900332225913623,0,,0,,0.24106113033448673,,
L4H0,0.4431818181818182,0,,0,,0.18627450980392157,,
L5H18,0.49282920469361147,0,,0,,0.08791832104367556,,
L6H12,0.4732824427480916,0,,0,,0.11510791366906475,,
L6H2,0.4542372881355932,0,,0,,0.13106796116504854,,
L6H24,0.5275665399239544,0,,0,,0.005671077504725898,,
L7H1,0.6247855917667239,0,,0,,0.20507399577167018,,
L7H18,0.4951716738197425,0,,0,,0.04378003203416978,,
L7H25,0.4772922022279349,0,,0,,0.18592195868400918,,
L8H15,0.5401493930905695,0,,0,,0.1430317848410758,,
L8H16,0.5203145478374837,0,,0,,0.10004203446826397,,
L8H8,0.3942307692307692,0,,0,,0.09593023255813954,,
L9H16,0.47256977863330124,0,,0,,0.0038498556304138597,,
L9H17,0.5172031076581576,0,,0,,0.21878121878121878,,
L9H22,0.18181818181818182,0,,0,,0.0,,
L9H26,0.0,0,,0,,0.0,,
L9H6,0.502127659574468,0,,0,,0.094186902133922,,
