config_id,direction,contrast,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification
545:query_mother:head:641:KV,noise,KV_minus_K_minus_V,20,0.2771306991577148,0.2771306991577148,0.1784515380859375,0.018096923828125,0.71136474609375,1.0,0.75,True,coherent
545:query_mother:head:709:KV,noise,KV_minus_K_minus_V,20,0.07143826484680176,0.08629422187805176,0.064361572265625,-0.0771484375,0.3751792907714844,0.8,0.3,False,below_rule
545:query_mother:head:870:KV,noise,KV_minus_K_minus_V,20,-0.0015421390533447265,0.027091360092163085,-0.0014362335205078125,-0.06640625,0.09608840942382812,0.5,0.0,False,below_rule
545:query_period:head:594:KV,noise,KV_minus_K_minus_V,20,0.09451842308044434,0.15479826927185059,0.04901885986328125,-0.34197998046875,0.38483333587646484,0.65,0.55,True,heterogeneous
545:query_period:head:595:KV,noise,KV_minus_K_minus_V,20,0.02734518051147461,0.04203386306762695,0.0174407958984375,-0.03887939453125,0.1549072265625,0.6,0.15,False,below_rule
545:query_period:head:600:KV,noise,KV_minus_K_minus_V,20,0.008944225311279298,0.04244871139526367,0.008330345153808594,-0.1197052001953125,0.13629150390625,0.55,0.1,False,below_rule
545:query_writer_union:head:594:V,noise,union_minus_three_sites,20,0.058194446563720706,0.29254865646362305,0.019378662109375,-0.69586181640625,0.53082275390625,0.55,0.7,True,heterogeneous
545:query_writer_union:head:595:V,noise,union_minus_three_sites,20,0.09135208129882813,0.12491092681884766,0.08989620208740234,-0.19168853759765625,0.23687744140625,0.8,0.5,True,heterogeneous
545:query_writer_union:head:600:V,noise,union_minus_three_sites,20,0.07144241333007813,0.07298545837402344,0.06900787353515625,-0.015430450439453125,0.18841552734375,0.95,0.25,False,below_rule
545:query_writer_union:head:624:V,noise,union_minus_three_sites,20,-0.0012540817260742188,0.005420875549316406,-0.0008392333984375,-0.0210113525390625,0.01434326171875,0.55,0.0,False,below_rule
545:query_writer_union:head:641:V,noise,union_minus_three_sites,20,0.004370498657226563,0.00665130615234375,0.0023956298828125,-0.004974365234375,0.03678131103515625,0.65,0.0,False,below_rule
545:query_writer_union:head:709:V,noise,union_minus_three_sites,20,0.0007855892181396484,0.005469846725463867,0.0028228759765625,-0.0178680419921875,0.00927734375,0.7,0.0,False,below_rule
545:query_writer_union:head:870:V,noise,union_minus_three_sites,20,-0.0009299516677856445,0.0023154497146606447,3.814697265625e-05,-0.008715152740478516,0.002960205078125,0.5,0.0,False,below_rule
545:query_writer_union:mlp:17:,noise,union_minus_three_sites,20,0.001432323455810547,0.005447101593017578,0.00127410888671875,-0.00865936279296875,0.01386260986328125,0.6,0.0,False,below_rule
568:colon:head:695:KV,noise,KV_minus_K_minus_V,20,0.0005748748779296875,0.0026691436767578127,0.000244140625,-0.00457763671875,0.0090179443359375,0.5,0.0,False,below_rule
594:colon:head:695:KV,noise,KV_minus_K_minus_V,20,0.025775623321533204,0.04069185256958008,0.00841522216796875,-0.08946990966796875,0.283203125,0.7,0.05,False,below_rule
594:colon:head:817:KV,noise,KV_minus_K_minus_V,20,0.019395828247070312,0.020026016235351562,0.01666736602783203,-0.0063018798828125,0.03682708740234375,0.95,0.0,False,below_rule
595:colon:head:695:KV,noise,KV_minus_K_minus_V,20,0.009417200088500976,0.03852944374084473,0.00827789306640625,-0.12673187255859375,0.1995391845703125,0.6,0.1,False,below_rule
595:colon:head:817:KV,noise,KV_minus_K_minus_V,20,0.02127494812011719,0.022791671752929687,0.02215576171875,-0.013275146484375,0.0633087158203125,0.9,0.0,False,below_rule
624:colon:head:695:KV,noise,KV_minus_K_minus_V,20,-0.0011371493339538575,0.00390700101852417,0.0002288818359375,-0.01605224609375,0.0048828125,0.45,0.0,False,below_rule
641:colon:head:695:KV,noise,KV_minus_K_minus_V,20,0.0059295654296875,0.01108245849609375,0.005870819091796875,-0.0177154541015625,0.0313720703125,0.65,0.0,False,below_rule
641:colon:head:817:KV,noise,KV_minus_K_minus_V,20,0.009587407112121582,0.010577702522277832,0.005401611328125,-0.0036773681640625,0.07885360717773438,0.8,0.0,False,below_rule
