head,benchmark,correct_copy_events,conditional_status
L28H15,repeated_sequence,953,completed
L28H15,key_value_retrieval,32,completed
L29H5,repeated_sequence,953,completed
L29H5,key_value_retrieval,32,completed
L30H3,repeated_sequence,953,completed
L30H3,key_value_retrieval,32,completed
L30H13,repeated_sequence,953,completed
L30H13,key_value_retrieval,32,completed
L30H18,repeated_sequence,953,completed
L30H18,key_value_retrieval,32,completed
L31H1,repeated_sequence,953,completed
L31H1,key_value_retrieval,32,completed
