config_id,parent,control_type,parent_mean,parent_ma,control_ma,signed_difference,absolute_difference,parent_larger_fraction,control_mean,control_mean_absolute,control_median,control_minimum,control_maximum,control_sign_fraction,control_above_tau_fraction,control_retained,control_classification
545:other_mother:head:595:V,545:query_mother:head:595:V,other_site,0.7144511222839356,0.7144511222839356,0.04884164333343506,0.7632927656173706,0.6656094789505005,1.0,-0.04884164333343506,0.04884164333343506,-0.04931640625,-0.09564208984375,-0.0068359375,1.0,0.0,False,below_rule
545:other_mother:head:600:V,545:query_mother:head:600:V,other_site,-0.5480789184570313,0.5480789184570313,0.3989603042602539,-0.9470392227172851,0.14911861419677735,0.7,0.3989603042602539,0.3989603042602539,0.37628173828125,0.18963623046875,0.757080078125,1.0,1.0,True,coherent
545:other_mother:head:641:V,545:query_mother:head:641:V,other_site,-0.4563274383544922,0.4563274383544922,0.017962837219238283,-0.4742902755737305,0.4383646011352539,1.0,0.017962837219238283,0.017962837219238283,0.013286590576171875,0.00091552734375,0.0499267578125,1.0,0.0,False,below_rule
545:other_mother:head:709:V,545:query_mother:head:709:V,other_site,0.8186240673065186,0.8186240673065186,0.1824352264404297,1.0010592937469482,0.6361888408660888,1.0,-0.1824352264404297,0.1824352264404297,-0.180908203125,-0.31573486328125,-0.06927490234375,1.0,0.85,True,coherent
545:other_mother:head:870:V,545:query_mother:head:870:V,other_site,0.33190217018127444,0.3822324275970459,0.05631809234619141,0.3871902942657471,0.3259143352508545,0.9,-0.05528812408447266,0.05631809234619141,-0.0523529052734375,-0.12469482421875,0.0062103271484375,0.85,0.2,False,below_rule
545:other_period:head:594:V,545:query_period:head:594:V,other_site,1.204773187637329,1.204773187637329,0.3716700553894043,1.5764432430267334,0.8331031322479248,1.0,-0.3716700553894043,0.3716700553894043,-0.38031673431396484,-0.6132659912109375,-0.1475677490234375,1.0,1.0,True,coherent
545:other_period:head:595:V,545:query_period:head:595:V,other_site,0.4122958183288574,0.4122958183288574,0.16914215087890624,0.5814379692077637,0.24315366744995118,0.85,-0.16914215087890624,0.16914215087890624,-0.14434814453125,-0.418212890625,-0.02685546875,1.0,0.7,True,coherent
545:query_is_token:head:576:V,545:query_is_token:head:600:V,random_receiver,-0.3251034736633301,0.3251034736633301,0.0016323089599609374,-0.3252732276916504,0.3234711647033691,1.0,0.0001697540283203125,0.0016323089599609374,-0.000102996826171875,-0.0029296875,0.0056304931640625,0.45,0.0,False,below_rule
545:query_is_token:head:582:V,545:query_is_token:head:594:V,random_receiver,0.9597070217132568,0.9597070217132568,0.0015718460083007798,0.9600154399871826,0.9581351757049561,1.0,-0.00030841827392578,0.0015718460083007798,3.0517578125e-05,-0.0045051574707031,0.003082275390625,0.5,0.0,False,below_rule
545:query_is_token:head:583:V,545:query_is_token:head:600:V,random_receiver,-0.3251034736633301,0.3251034736633301,0.00246734619140625,-0.32520112991333006,0.32263612747192383,1.0,9.765625e-05,0.00246734619140625,0.000518798828125,-0.004486083984375,0.0048828125,0.55,0.0,False,below_rule
545:query_is_token:head:584:V,545:query_is_token:head:595:V,random_receiver,0.914797019958496,0.914797019958496,0.001207733154296875,0.915070915222168,0.9135892868041993,1.0,-0.000273895263671875,0.001207733154296875,0.0001220703125,-0.00408935546875,0.00263214111328125,0.5,0.0,False,below_rule
545:query_is_token:head:586:V,545:query_is_token:head:595:V,random_receiver,0.914797019958496,0.914797019958496,0.00186920166015625,0.9149969100952149,0.9129278182983398,1.0,-0.00019989013671875,0.00186920166015625,1.52587890625e-05,-0.00634765625,0.0045318603515625,0.45,0.0,False,below_rule
545:query_is_token:head:602:V,545:query_is_token:head:594:V,random_receiver,0.9597070217132568,0.9597070217132568,0.0021572113037109375,0.9586301326751709,0.9575498104095459,1.0,0.0010768890380859375,0.0021572113037109375,0.0013427734375,-0.0040283203125,0.004547119140625,0.75,0.0,False,below_rule
545:query_mother:head:577:V,545:query_mother:head:594:V,random_receiver,1.210488986968994,1.210488986968994,0.007918548583984376,1.2184075355529784,1.2025704383850098,1.0,-0.007918548583984376,0.007918548583984376,-0.00780487060546875,-0.02448272705078125,-0.00311279296875,1.0,0.0,False,below_rule
545:query_mother:head:593:V,545:query_mother:head:600:V,random_receiver,-0.5480789184570313,0.5480789184570313,0.002685546875,-0.5469406127929688,0.5453933715820313,1.0,-0.0011383056640625,0.002685546875,-0.00104522705078125,-0.007843017578125,0.00360107421875,0.65,0.0,False,below_rule
545:query_mother:head:601:V,545:query_mother:head:595:V,random_receiver,0.7144511222839356,0.7144511222839356,0.05064125061035156,0.663809871673584,0.663809871673584,1.0,0.05064125061035156,0.05064125061035156,0.04638671875,0.0262451171875,0.1048736572265625,1.0,0.05,False,below_rule
545:query_mother:head:602:V,545:query_mother:head:595:V,random_receiver,0.7144511222839356,0.7144511222839356,0.003185272216796875,0.7130953788757324,0.7112658500671387,1.0,0.001355743408203125,0.003185272216796875,0.0013275146484375,-0.00506591796875,0.01992034912109375,0.6,0.0,False,below_rule
545:query_mother:head:606:V,545:query_mother:head:600:V,random_receiver,-0.5480789184570313,0.5480789184570313,0.00243854522705078,-0.547846794128418,0.5456403732299805,1.0,-0.00023212432861327998,0.00243854522705078,-0.00054931640625,-0.0054931640625,0.005859375,0.55,0.0,False,below_rule
545:query_mother:head:607:V,545:query_mother:head:594:V,random_receiver,1.210488986968994,1.210488986968994,0.0011629104614257824,1.2107913017272949,1.2093260765075684,1.0,-0.0003023147583007825,0.0011629104614257824,-0.000133514404296875,-0.00494384765625,0.002044677734375,0.55,0.0,False,below_rule
545:query_mother:head:655:V,545:query_mother:head:641:V,random_receiver,-0.4563274383544922,0.4563274383544922,0.0016874313354492173,-0.45587978363037107,0.45464000701904295,1.0,-0.00044765472412109254,0.0016874313354492173,-0.000518798828125,-0.0039215087890625,0.00319671630859375,0.65,0.0,False,below_rule
545:query_mother:head:668:V,545:query_mother:head:641:V,random_receiver,-0.4563274383544922,0.4563274383544922,0.0013828277587890625,-0.4563774108886719,0.4549446105957031,1.0,4.99725341796875e-05,0.0013828277587890625,0.000518798828125,-0.00567626953125,0.00274658203125,0.65,0.0,False,below_rule
545:query_mother:head:705:V,545:query_mother:head:709:V,random_receiver,0.8186240673065186,0.8186240673065186,0.001259613037109375,0.8186545848846436,0.8173644542694092,1.0,-3.0517578125e-05,0.001259613037109375,-8.7738037109375e-05,-0.0037689208984375,0.0024566650390625,0.55,0.0,False,below_rule
545:query_mother:head:733:V,545:query_mother:head:709:V,random_receiver,0.8186240673065186,0.8186240673065186,0.0015506744384765625,0.8184985637664794,0.817073392868042,1.0,0.0001255035400390625,0.0015506744384765625,9.918212890625e-05,-0.0027313232421875,0.003997802734375,0.5,0.0,False,below_rule
545:query_mother:head:878:V,545:query_mother:head:870:V,random_receiver,0.33190217018127444,0.3822324275970459,0.0009355545043945301,0.3313435077667236,0.38129687309265137,0.95,0.00055866241455078,0.0009355545043945301,0.000518798828125,-0.00140380859375,0.002593994140625,0.65,0.0,False,below_rule
545:query_mother:head:884:V,545:query_mother:head:870:V,random_receiver,0.33190217018127444,0.3822324275970459,0.0011600494384765626,0.3316957950592041,0.3810723781585693,1.0,0.0002063751220703125,0.0011600494384765626,-0.00017547607421875,-0.0020751953125,0.004364013671875,0.45,0.0,False,below_rule
545:query_period:head:577:V,545:query_period:head:595:V,random_receiver,0.4122958183288574,0.4122958183288574,0.0050323486328125,0.416901683807373,0.40726346969604493,1.0,-0.004605865478515625,0.0050323486328125,-0.004352569580078125,-0.015045166015625,0.00426483154296875,0.95,0.0,False,below_rule
545:query_period:head:590:V,545:query_period:head:594:V,random_receiver,1.204773187637329,1.204773187637329,0.0017827987670898423,1.205225419998169,1.2029903888702393,1.0,-0.00045223236083984255,0.0017827987670898423,-0.0001373291015625,-0.00628662109375,0.00391387939453125,0.55,0.0,False,below_rule
545:query_period:head:601:V,545:query_period:head:595:V,random_receiver,0.4122958183288574,0.4122958183288574,0.03689117431640625,0.37540464401245116,0.37540464401245116,1.0,0.03689117431640625,0.03689117431640625,0.03537750244140625,0.015838623046875,0.066864013671875,1.0,0.0,False,below_rule
545:query_period:head:607:V,545:query_period:head:594:V,random_receiver,1.204773187637329,1.204773187637329,0.002044486999511717,1.2052383899688721,1.2027287006378173,1.0,-0.0004652023315429675,0.002044486999511717,-0.00128173828125,-0.0035400390625,0.004669189453125,0.7,0.0,False,below_rule
594:colon:head:885:Q,594:colon:head:870:Q,random_receiver,0.6225450515747071,0.6225450515747071,0.0016510009765625,0.621867561340332,0.6208940505981445,1.0,0.000677490234375,0.0016510009765625,0.001247406005859375,-0.003631591796875,0.00537109375,0.75,0.0,False,below_rule
594:colon:head:895:Q,594:colon:head:870:Q,random_receiver,0.6225450515747071,0.6225450515747071,0.0031324386596679674,0.6244644165039063,0.619412612915039,1.0,-0.0019193649291992174,0.0031324386596679674,-0.002294540405273425,-0.01006317138671875,0.00634765625,0.75,0.0,False,below_rule
594:colon:head:960:Q,594:colon:head:978:Q,random_receiver,0.33051338195800783,0.33051338195800783,0.003147125244140625,0.33031883239746096,0.3273662567138672,1.0,0.000194549560546875,0.003147125244140625,-8.392333984375e-05,-0.006622314453125,0.0131683349609375,0.4,0.0,False,below_rule
594:colon:head:976:Q,594:colon:head:978:Q,random_receiver,0.33051338195800783,0.33051338195800783,0.0010000228881835926,0.3302652359008789,0.3295133590698242,1.0,0.0002481460571289075,0.0010000228881835926,0.000579833984375,-0.0019378662109375,0.001678466796875,0.6,0.0,False,below_rule
594:query_sentence:mlp:19:,594:colon:mlp:19:,other_site,0.470072603225708,0.4704491138458252,0.004634857177734375,0.4704105854034424,0.46581425666809084,1.0,-0.000337982177734375,0.004634857177734375,3.0517578125e-05,-0.00830078125,0.008880615234375,0.5,0.0,False,below_rule
595:colon:head:651:Q,595:colon:head:641:Q,random_receiver,-0.39383583068847655,0.39383583068847655,0.0014209747314453125,-0.3938713073730469,0.39241485595703124,1.0,3.54766845703125e-05,0.0014209747314453125,-0.0002593994140625,-0.00225830078125,0.0032196044921875,0.4,0.0,False,below_rule
595:colon:head:670:Q,595:colon:head:641:Q,random_receiver,-0.39383583068847655,0.39383583068847655,0.0017375946044921875,-0.39325790405273436,0.39209823608398436,1.0,-0.0005779266357421875,0.0017375946044921875,-0.000274658203125,-0.00579833984375,0.003173828125,0.55,0.0,False,below_rule
595:colon:head:680:KV,595:colon:head:695:KV,random_receiver,0.42652143239974977,0.42652143239974977,0.00161285400390625,0.42662366628646853,0.4249085783958435,1.0,-0.00010223388671875,0.00161285400390625,0.000232696533203125,-0.00341796875,0.0047607421875,0.4,0.0,False,below_rule
595:colon:head:694:KV,595:colon:head:695:KV,random_receiver,0.42652143239974977,0.42652143239974977,0.0014245986938476551,0.42634652853012084,0.4250968337059021,1.0,0.00017490386962890498,0.0014245986938476551,0.00018310546875,-0.0039825439453125,0.00408935546875,0.5,0.0,False,below_rule
595:colon:head:804:KV,595:colon:head:817:KV,random_receiver,0.33657131195068357,0.33657131195068357,0.001685333251953125,0.33748455047607423,0.3348859786987305,1.0,-0.000913238525390625,0.001685333251953125,-0.00029754638671875,-0.00811767578125,0.00347900390625,0.6,0.0,False,below_rule
595:colon:head:831:KV,595:colon:head:817:KV,random_receiver,0.33657131195068357,0.33657131195068357,0.0013608932495117174,0.3365505218505859,0.33521041870117185,1.0,2.0790100097657508e-05,0.0013608932495117174,0.00034332275390625,-0.002655029296875,0.002685546875,0.55,0.0,False,below_rule
595:colon:head:867:Q,595:colon:head:870:Q,random_receiver,0.7170675277709961,0.719602394104004,0.001102447509765625,0.7168478012084961,0.7184999465942383,1.0,0.0002197265625,0.001102447509765625,0.0,-0.00244140625,0.00274658203125,0.45,0.0,False,below_rule
595:colon:head:873:Q,595:colon:head:870:Q,random_receiver,0.7170675277709961,0.719602394104004,0.00455341339111328,0.7177291870117187,0.7150489807128906,1.0,-0.000661659240722655,0.00455341339111328,0.0001678466796875,-0.01605224609375,0.0167999267578125,0.4,0.0,False,below_rule
595:query_sentence:head:695:KV,595:colon:head:695:KV,other_site,0.42652143239974977,0.42652143239974977,0.010732078552246092,0.41988176107406616,0.41578935384750365,1.0,0.006639671325683593,0.010732078552246092,0.00506591796875,-0.02508544921875,0.0419769287109375,0.75,0.0,False,below_rule
595:query_sentence:head:817:KV,595:colon:head:817:KV,other_site,0.33657131195068357,0.33657131195068357,0.00216960906982422,0.33760719299316405,0.33440170288085935,1.0,-0.0010358810424804699,0.00216960906982422,-0.00029754638671875,-0.0062255859375,0.0029754638671875,0.55,0.0,False,below_rule
595:query_sentence:mlp:19:,595:colon:mlp:19:,other_site,0.5913229942321777,0.5913229942321777,0.004071426391601562,0.5915858268737793,0.5872515678405762,1.0,-0.0002628326416015625,0.004071426391601562,-0.0012054443359375,-0.007354736328125,0.01715087890625,0.6,0.0,False,below_rule
