layer,head,flat_id,scopeP_importance_178,scopeP_pairs,scopeF_importance_178,scopeF_pairs,scopeF_mean_dlogit_clean_answer,scopeF_mean_dlogit_corrupted_answer,scopeF_mean_dlogit_source
11,3,355,0.021330653951409158,178,0.0030929104665691934,178,-0.000249636307191313,0.0028432781776685395,0.00034357992450842695
11,4,356,0.004021395458264298,178,0.00043840086861942593,178,-0.00023884049962075908,0.00019956438728932586,-4.1147296348314606e-05
11,7,359,-0.0018788294845752502,178,-0.00025024842680170293,178,-0.00014751278952266394,-0.00039775719803370786,-0.0003668967257724719
11,14,366,0.018450581625606238,178,0.0005641680085257198,178,-0.00013898195845357488,0.0004251887289325843,-0.0005664611130617978
11,15,367,-0.05035826865206944,178,-0.0029604354601227836,178,0.00033385967940426943,-0.0026265690835674156,-0.0004293034585674157
12,2,386,,0,-0.0006904869936825185,178,-0.00019898709286464734,-0.0008894673893960674,-0.00024208326018258428
12,9,393,-0.006060691362016656,178,0.00040807081072517993,178,0.000267428628514322,0.0006755014483848314,0.0007228208391853933
13,1,417,0.001138933588949482,178,8.198920260654407e-05,178,-0.00028978706745619185,-0.00020779384655898877,-0.00024002589536516853
13,14,430,-0.0016259397013803547,178,-0.0017470563395639484,178,-0.0001656084917904286,-0.0019126634919241572,-0.0010849170470505617
13,19,435,0.01254989859763156,178,0.002668803997254104,178,-2.440843689307738e-05,0.0026443995786516856,0.0010588570926966293
13,22,438,-0.005563995811376679,178,0.00019768918498178547,178,-1.458739966488956e-05,0.00018310546875,0.0003031184164325843
14,7,455,0.031542515486813666,178,0.018866608651836266,178,-0.00104228968030951,0.017824322989817416,0.011122114202949437
14,10,458,-0.005866050720214844,178,-0.001777314068226332,178,-1.1225764671068514e-05,-0.0017885358146067416,0.00029008843925561797
14,23,471,-0.21156842521067415,178,-0.024763487697987075,178,0.0010118913114740607,-0.023751591028792134,-0.017400505837429775
15,0,480,0.005019761203380113,178,0.0002642213628533181,178,-0.0001949607656243142,6.926461551966293e-05,-0.0014380980073735955
15,2,482,0.015397532602374473,178,0.008591657274224784,178,-0.00010160314902830659,0.008490058813202247,0.004042036077949438
15,3,483,-0.10603228311860159,178,-0.04886506112773767,178,-0.0005919357364097338,-0.049456992845856744,-0.030864586990870788
15,18,498,0.0262743274817306,178,0.040496719017457425,178,-0.0005578713470630432,0.039938851688685044,0.01307249604985955
15,28,508,0.014789993843335784,178,0.01139362206619777,178,-6.577406036719847e-05,0.011327850684691011,0.001540966248244382
15,29,509,0.004315520940202005,178,-0.00047079097019152695,178,-0.00023694788472036296,-0.0007077334971910112,0.00016733233848314607
16,0,512,-0.002271389693356632,178,-0.002810526429937127,178,-0.0007720345191741258,-0.0035825579353932586,-0.008806207206811799
16,1,513,,0,0.8566900478320175,178,-0.05148906788129485,0.8052009839690133,0.33155874188026685
16,2,514,0.00660122110602561,178,0.00839988301309307,178,-0.00018414352717024556,0.008215743504213483,0.0023213933023174156
16,4,516,,0,0.020945575799834863,178,-0.0006935663437575437,0.020252013474367978,0.00917653287394663
16,16,528,0.0211655745345555,178,0.01562916294912274,178,-0.0006830973571605896,0.01494606961025281,0.00883226716116573
16,21,533,,0,0.892819924300976,178,0.010636170258682765,0.9034560985779494,0.31869746861832865
16,24,536,-0.0456918277097552,178,-0.04198221142372389,178,-0.0006693655185485154,-0.042651572923981744,-0.04148470417837079
16,31,543,-0.18757959965909465,178,-0.1729035966851738,178,0.0008965784244323045,-0.17200701424245085,-0.07585846975948034
17,5,549,-0.013264061359876997,178,-0.058706074618221665,178,-0.00041436211446697793,-0.059120435393258425,-0.004388359155547753
17,24,568,,0,0.42919445573613885,178,-0.02883915017160137,0.4003553069039677,0.06299171019136236
18,15,591,0.006046246946527717,178,0.005192488766788097,178,0.0008163807097445713,0.006008876843398877,0.0014579858672752809
18,19,595,,0,3.0789664997143693,178,-0.2031331638271889,2.875833339905471,0.37437490398964185
18,26,602,0.022829371891664656,178,0.02302567878465974,178,0.0014068959804063434,0.02443257878335674,0.005878577071629213
19,16,624,,0,-0.8292487685600024,178,0.002146960309382235,-0.8271018038974719,-0.15724302141853932
20,7,647,-0.026114008399877656,178,-0.026040495111701194,178,-0.0237902563609434,-0.04983074745435393,-0.06112173701939958
20,14,654,0.017254933882295417,178,0.017321302649680147,178,-0.0003542190187432793,0.016967087649227528,0.006011619996488764
21,24,696,0.012582998597220089,178,0.013237513852923105,178,-0.002511102831765507,0.010726414369733145,-0.0018173389220505617
21,25,697,0.054679736662446785,178,0.049697066960709815,178,-0.0009677021690968717,0.048729371488764044,0.004169592696629213
21,27,699,0.04603419678934505,178,0.0503837660457311,178,0.013117478134926785,0.06350125087780899,0.008604585454705056
22,5,709,,0,0.9838193989871593,178,-0.06440158238571682,0.9194178206197331,0.021524836508075844
23,10,746,0.026634768153844256,178,0.03351576408643401,178,5.768524127060108e-05,0.03357345066713483,0.005937554863061798
23,15,751,,0,-0.953273545490222,178,0.011544285195597102,-0.9417292562763343,-0.19186607103669243
23,21,757,-0.00726298000035661,178,-0.0036647266216492387,178,-0.0002559289503633306,-0.00392065155372191,-0.0026745742626404496
24,17,785,0.0346287770217724,178,0.036341265346227065,178,0.043909674280145194,0.08025094364466293,0.006600712122542135
25,18,818,-0.0006707384345236789,178,0.0005054581031370699,178,0.003599666477589125,0.004105128599016854,0.006980638825491573
26,13,845,-0.005557194184721186,178,-0.005177669310837649,178,0.008492080013403732,0.0033144147208567414,0.014976244294241573
26,23,855,,0,-0.3693097628904193,178,0.07798141441988142,-0.2913283444522472,-0.05779617823911517
26,31,863,0.029452800750732422,178,0.02733502227268862,178,-0.005184065090136581,0.022150961200842697,0.014170443074087078
27,23,887,-0.0011554889464646242,178,-0.0011011348681503467,178,-0.0002985643536857005,-0.0013996938641151686,-0.001198072112008427
28,28,924,0.0023160730854848797,178,0.0012297148115179512,178,0.0034782176607110527,0.004707936490519663,0.0006309252106741573
30,3,963,0.0024081401610642336,178,0.0021694376227561008,178,-0.0018361518892009608,0.0003332931004213483,-0.009607207909058989
31,1,993,-1.7192926299705932e-05,178,-1.7192926299705932e-05,178,-0.0011459080021033127,-0.0011630969101123596,0.010939008734199437
31,16,1008,-0.004500539115305697,178,-0.004500539115305697,178,0.003336066610357735,-0.0011644684866573033,0.018783054994733147
